District,Month,Visitors,Year,Season
Narayanapet,12,24250,2021.0,Winter
Nirmal,1,154786,2021.0,Winter
Nirmal,2,225686,2021.0,Winter
Nirmal,3,205287,2021.0,Summer
Nirmal,4,125395,2021.0,Summer
Nirmal,5,25969,2021.0,Summer
Nirmal,6,7048,2021.0,Monsoon
Nirmal,7,125523,2021.0,Monsoon
Nirmal,8,173301,2021.0,Monsoon
Nirmal,9,225421,2021.0,Monsoon
Nirmal,10,265203,2021.0,Autumn
Nirmal,11,228200,2021.0,Autumn
Nirmal,12,195660,2021.0,Winter
Nizamabad,1,9450,2021.0,Winter
Nizamabad,2,50500,2021.0,Winter
Nizamabad,3,61080,2021.0,Summer
Nizamabad,4,30430,2021.0,Summer
Nizamabad,5,0,2021.0,Summer
Nizamabad,6,2020,2021.0,Monsoon
Nizamabad,7,14050,2021.0,Monsoon
Nizamabad,8,19580,2021.0,Monsoon
Nizamabad,9,12580,2021.0,Monsoon
Nizamabad,10,13600,2021.0,Autumn
Nizamabad,11,19090,2021.0,Autumn
Nizamabad,12,10120,2021.0,Winter
Peddapalli,1,1150,2021.0,Winter
Peddapalli,2,1245,2021.0,Winter
Peddapalli,3,2610,2021.0,Summer
Peddapalli,4,3405,2021.0,Summer
Peddapalli,5,355,2021.0,Summer
Peddapalli,6,420,2021.0,Monsoon
Peddapalli,7,550,2021.0,Monsoon
Peddapalli,8,779,2021.0,Monsoon
Peddapalli,9,660,2021.0,Monsoon
Peddapalli,10,650,2021.0,Autumn
Peddapalli,11,1630,2021.0,Autumn
Peddapalli,12,1840,2021.0,Winter
RajanuaSircilla,1,656423,2021.0,Winter
RajanuaSircilla,2,571526,2021.0,Winter
RajanuaSircilla,3,868764,2021.0,Summer
RajanuaSircilla,4,198252,2021.0,Summer
RajanuaSircilla,5,23978,2021.0,Summer
RajanuaSircilla,6,125913,2021.0,Monsoon
RajanuaSircilla,7,290935,2021.0,Monsoon
RajanuaSircilla,8,518772,2021.0,Monsoon
RajanuaSircilla,9,388599,2021.0,Monsoon
RajanuaSircilla,10,355757,2021.0,Autumn
RajanuaSircilla,11,567535,2021.0,Autumn
RajanuaSircilla,12,606628,2021.0,Winter
Sangareddy,1,112500,2021.0,Winter
Sangareddy,2,103200,2021.0,Winter
Sangareddy,3,274500,2021.0,Summer
Sangareddy,4,117300,2021.0,Summer
Sangareddy,5,15000,2021.0,Summer
Sangareddy,6,26500,2021.0,Monsoon
Sangareddy,7,33000,2021.0,Monsoon
